B_True_DE,B_MisOR_DE,B_MisPS_DE,B_MisBoth_DE,B_Over_DE,B_Under_DE,B_True_IE,B_MisOR_IE,B_MisPS_IE,B_MisBoth_IE,B_Over_IE,B_Under_IE,S_True_DE,S_MisOR_DE,S_MisPS_DE,S_MisBoth_DE,S_Over_DE,S_Under_DE,S_True_IE,S_MisOR_IE,S_MisPS_IE,S_MisBoth_IE,S_Over_IE,S_Under_IE,C_True_DE,C_MisOR_DE,C_MisPS_DE,C_MisBoth_DE,C_Over_DE,C_Under_DE,C_True_IE,C_MisOR_IE,C_MisPS_IE,C_MisBoth_IE,C_Over_IE,C_Under_IE,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66
0.005694898,0.00789995,0.004654223,0.00527281,0.007516406,0.001549128,0.080929986,0.045085269,0.122804895,0.017169748,0.000275688,-0.031814121,-0.032457448,-0.04276757,-0.033523681,-0.034088675,-0.043087414,0.140208812,0.09676481,0.192323869,-0.013715336,-0.042015985,3.854050769,3.872062463,4.175406574,3.887124592,3.903225248,4.219207886,14.42909827,14.86756425,14.29458788,4.226355553,5.603207623,4.726158176,4.746013992,5.42244682,4.83785213,4.856023336,5.691010403,20.15385631,19.92051194,25.58551746,6.098784865,8.639659418,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.012372997,0.011487549,0.017557288,0.014379288,0.013434175,0.019416524,0.048491644,0.040704395,0.055175518,0.019056205,-0.032570442,0.004046263,0.003474341,0.018006862,0.003686166,0.003079266,0.017436006,0.057207076,0.045358453,0.116052571,0.017198695,-0.017554011,3.710892396,3.715428309,3.932203857,3.698975212,3.70421157,3.926550313,12.35254631,12.39166374,13.51535483,4.879572179,5.692572726,4.1679909,4.178268864,4.657393786,4.094836143,4.104620798,4.601444029,15.89168506,16.01818187,18.12881762,7.538502673,10.08469505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.031356072,-0.032252128,-0.032243229,-0.030790565,-0.031644249,-0.029659394,0.011729312,-0.036096556,0.055822141,-0.041812945,-0.045241543,0.02282776,0.023597151,0.008085128,0.020460807,0.021147454,0.005791516,0.127058387,0.090109658,0.194176395,-0.0008045,0.0063797,3.818909799,3.838907434,3.779766805,3.804235018,3.822396937,3.771524037,9.704025006,9.731502933,10.58635793,4.263705475,5.325663544,5.440075472,5.488071732,5.328403508,5.37864262,5.427241947,5.341667667,13.5254445,13.40799635,13.51821652,6.943692874,7.660570661,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
0.052873418,0.052701375,0.023202898,0.05298932,0.052869528,0.031905803,-0.018371021,-0.053974294,0.015870066,0.084328368,0.077414905,-0.014915115,-0.015306882,-0.025252959,-0.0143129,-0.014594289,-0.02771721,-0.018292658,-0.051861582,0.076088008,0.041029184,0.097173873,3.660009074,3.687437806,3.784047911,3.615174861,3.641827242,3.60225469,13.90610165,14.69453409,14.48330598,4.468706575,7.893691385,4.286227953,4.309257551,4.259356076,4.204916027,4.22743301,4.222133558,19.04135742,19.25287651,17.92272021,6.782022704,22.36072955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.060281973,0.058626097,0.05952415,0.062900491,0.06113807,0.062283183,0.119485137,0.091543987,0.120197672,0.066225615,0.01564792,0.034709313,0.031587602,0.037346046,0.036187747,0.033023901,0.03893451,0.063646691,0.039185145,0.123800534,0.051794861,0.025553174,3.584696464,3.594616546,3.573153835,3.564428189,3.576705827,3.546941473,9.892579273,9.943675662,10.97473835,4.584933328,6.244356428,4.004404637,4.044058695,4.094128672,3.952966578,3.995979846,4.035582947,14.9962559,15.3341782,15.61838002,7.114549038,11.89484391,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.03657642,0.036963305,0.038151633,0.033827712,0.034319803,0.033092521,0.00378513,-0.039445482,0.003673214,0.038358645,-0.024016869,-0.014401238,-0.01327233,-0.01918381,-0.020441742,-0.01933825,-0.021659035,-0.078512298,-0.127297545,-0.07312948,-0.029980829,-0.047445567,3.976066474,3.993236626,4.93104625,3.949712908,3.968908246,4.819819168,10.27241787,10.86901825,14.18899759,4.592696599,6.007141087,5.430513884,5.480219095,7.250479934,5.393865863,5.445251346,7.098835161,18.77732634,20.32066822,28.35951851,7.289290146,11.46214771,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.033316028,0.032511391,0.030602502,0.033356888,0.032767131,0.030310161,-0.004900659,0.020393548,0.020378527,0.015868777,-0.069383117,0.020306352,0.01904623,0.005439942,0.022640378,0.021875831,0.008682948,-0.030013556,-0.02750709,0.04801523,-0.018118545,-0.092733164,3.896595204,3.849067369,3.94872738,3.86386099,3.820837615,3.927612767,13.90027073,15.53751361,10.99901471,4.527371503,6.228320821,4.731679542,4.582621776,4.651023871,4.705094611,4.575719111,4.628304614,14.59550652,15.04523965,16.25736979,7.541861499,13.02509574,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.009769457,0.009222429,0.01008343,0.009112813,0.008542491,0.011944886,0.01888682,0.005784965,0.03465824,0.02354517,0.024387186,-0.0352097,-0.035626221,-0.037821446,-0.033859777,-0.03433762,-0.038559477,-0.020510703,-0.034781889,0.043256762,-0.019753963,-0.020939031,4.000863549,4.001876074,4.462621696,3.971073187,3.970573323,4.337930974,9.912566856,10.10537811,9.743755503,4.337589453,5.688895282,4.049059478,4.034541181,4.913702055,3.931547354,3.913730737,4.515060363,14.64539512,14.59131529,13.92448364,5.234280957,7.982770116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.08951908,0.088053162,0.078267693,0.09078962,0.089212248,0.076293497,0.016068207,0.01690007,0.037014142,0.063866542,-0.026793457,-0.007730188,-0.009100842,-0.011942269,-0.01021857,-0.011539527,-0.010990108,-0.145091665,-0.134642602,-0.087911834,-0.036959846,-0.189262663,4.374850987,4.420350299,4.506724874,4.385792545,4.433787517,4.520341355,12.90793217,13.09891168,16.03486412,5.74536894,6.856606542,5.693481186,5.855458639,6.689090749,5.731194992,5.902320717,6.780596331,22.84042535,23.53496138,31.60746995,9.780018605,12.12635941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
-0.022386147,-0.023889965,-0.023747428,-0.021904697,-0.023557993,-0.027623937,-0.037471414,-0.010201391,-0.010715362,-0.029081883,-0.106093165,0.030893692,0.030452661,0.049250929,0.032132396,0.031749631,0.052727794,-0.023749477,0.013682553,0.018336993,0.013220178,0.016489875,3.535150255,3.537287832,3.791298351,3.561541066,3.56321148,3.821846331,11.85350314,11.96168422,12.28837815,5.031958371,7.73476486,4.965920478,4.950725,4.802571244,5.10013202,5.085672232,4.876464295,21.28745814,21.9531071,20.36397939,9.171643838,12.77267874,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.039353367,0.039715823,0.027927054,0.03877135,0.039101087,0.025484557,0.045783696,0.030005094,0.102728401,0.025187808,0.031936406,0.089107956,0.089876414,0.06424065,0.089572927,0.090140249,0.063982464,0.063895957,0.03977781,0.099763899,0.056540169,0.080977896,3.625051313,3.630283155,3.479416296,3.640058125,3.644729434,3.482870419,9.000458368,9.106125489,9.590990785,4.037096599,5.523596019,4.097618347,4.207309582,3.633434898,4.087243439,4.191865162,3.632163804,10.98876907,11.03955867,11.46541472,5.003687609,8.680720387,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
0.026178229,0.02649453,0.025203069,0.025257876,0.025569845,0.02218982,0.027446538,0.053923793,0.037289452,0.010855356,-0.002223459,0.039372766,0.039324958,0.022705958,0.039758955,0.039678172,0.024140665,-0.040920796,-0.014321438,-0.009633086,0.017575945,-0.005088748,3.67151957,3.662812428,3.965224047,3.628506341,3.620745745,3.893832764,10.56353779,10.63068177,10.64819345,4.558208753,4.942746239,3.805327491,3.765875485,4.012507641,3.745841523,3.710729273,3.937250699,13.08882242,12.80109116,15.05579895,6.484407788,7.617464938,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.03018184,-0.030953865,-0.03029181,-0.029003672,-0.029893365,-0.028341831,0.14765049,0.039270574,0.146687661,-0.017279981,-0.053945838,-0.018936453,-0.015222913,-0.007794011,-0.019021296,-0.015547682,-0.010502109,0.079067085,-0.000797358,0.144974568,0.01355972,0.012361103,3.690857888,3.709060621,3.941106978,3.691553161,3.709727801,3.941396406,13.15152768,12.55047742,13.34243652,4.370291933,5.981267848,4.913139291,4.822777297,4.513699291,4.779946245,4.718469183,4.42417308,13.90834457,13.93907383,13.2856665,6.90273176,11.84480701,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
